iter	Passed	Remaining
0	153	153024
1	156	77872
2	158	52619
3	160	39895
4	161	32210
5	163	27139
6	166	23595
7	169	21048
8	171	18914
9	173	17195
10	175	15778
11	177	14611
12	180	13679
13	182	12847
14	184	12132
15	187	11517
16	188	10928
17	191	10421
18	193	9970
19	195	9568
20	197	9192
21	199	8857
22	201	8549
23	203	8273
24	205	8000
25	207	7791
26	210	7597
27	213	7405
28	216	7235
29	218	7067
30	221	6922
31	224	6787
32	227	6673
33	230	6549
34	233	6425
35	236	6325
36	238	6218
37	241	6117
38	245	6042
39	247	5941
40	250	5849
41	252	5762
42	255	5679
43	258	5607
44	261	5542
45	264	5491
46	267	5425
47	271	5385
48	274	5335
49	280	5328
50	284	5285
51	287	5241
52	290	5195
53	298	5230
54	302	5189
55	306	5163
56	309	5114
57	312	5075
58	315	5037
59	318	4992
60	321	4949
61	324	4916
62	328	4880
63	332	4860
64	335	4826
65	339	4803
66	343	4780
67	347	4760
68	350	4732
69	358	4768
70	363	4757
71	369	4764
72	373	4741
73	377	4719
74	380	4696
75	385	4687
76	389	4665
77	393	4646
78	398	4650
79	402	4627
80	406	4615
81	412	4614
82	415	4591
83	419	4577
84	431	4647
85	437	4647
86	445	4673
87	449	4660
88	455	4662
89	459	4642
90	462	4618
91	465	4598
92	469	4576
93	472	4551
94	476	4536
95	480	4521
96	484	4510
97	487	4491
98	491	4475
99	496	4468
100	500	4456
101	506	4458
102	511	4455
103	516	4452
104	521	4445
105	527	4452
106	532	4442
107	538	4446
108	541	4429
109	546	4423
110	551	4412
111	559	4437
112	563	4423
113	567	4412
114	573	4413
115	577	4398
116	580	4382
117	584	4371
118	588	4356
119	591	4336
120	595	4326
121	598	4307
122	602	4292
123	606	4285
124	612	4284
125	616	4273
126	618	4253
127	622	4241
128	627	4235
129	631	4224
130	634	4211
131	639	4203
132	642	4190
133	646	4180
134	650	4168
135	654	4156
136	657	4139
137	659	4120
138	662	4104
139	665	4085
140	669	4077
141	671	4057
